SMILES,Pred_ZBTB11_pDC50,Pred_ZBTB11_Dmax,Pred_IKZF1_pDC50,Pred_IKZF1_Dmax,ZBTB11_Efficiency,IKZF1_Efficiency,Selectivity_Score
COC1=CC=C(C2(CCC2)NS(NC3=CC(C4)=C(C=C3)C(N4C(C(N5)=O)CCC5=O)=O)(=O)=O)C=C1,5.4621453,49.516388,6.854739,67.58132,2.704657,4.632523,-1.927866
O=C1CCC(N2C(C(C=CC(CNC(NC3(CCCC3)C4=CC=C(S(C)=O)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,5.462765,49.514557,6.8550825,67.592705,2.704864,4.633536,-1.9286718
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)CNCC4=CC=CC=C4)=O)=C5)=C5C2)=O)C(N1)=O,5.463146,49.520237,6.85549,67.59995,2.7053628,4.6343083,-1.9289455
O=C1CCC(N2C(C(C=CC(CN(C)C(NC3(CCCC3)C4=CC=C(S(C)=O)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,5.462734,49.507946,6.854901,67.59321,2.7044876,4.6334476,-1.9289601
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)C(NCC4=CC=CC=C4)=O)=O)=C5)=C5C2)=O)C(N1)=O,5.4625587,49.51413,6.855428,67.59205,2.7047384,4.633724,-1.9289858
O=C1CCC(N2C(C(C=CC(C(NCC3(CCCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,5.4629154,49.51184,6.855069,67.59656,2.7047899,4.6337905,-1.9290006
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCCC3)C4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,5.4627595,49.51193,6.8552175,67.59512,2.7047174,4.633793,-1.9290755
O=C1N(C2CCC(NC2=O)=O)CC3=CC(CC(NC4(CCCC4)C5=CC=C(SC)C=C5)=O)=CC=C31,5.4629097,49.51137,6.855119,67.59699,2.7047615,4.6338544,-1.9290929
O=C1CCC(N2C(C(C=CC(CNC(NC3(CCCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,5.4629,49.511604,6.8552246,67.596725,2.7047696,4.6339073,-1.9291377
O=C1CCC(N2C(C(C=CC(NC(NCC3(CCCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,5.462924,49.511578,6.855226,67.59691,2.7047799,4.6339207,-1.9291408
CSC1=CC=C(C2(CCCC2)NC(NC3=CC(C4)=C(C=C3)C(N4C(C(N5)=O)CCC5=O)=O)=O)C=C1,5.462723,49.508575,6.855213,67.5941,2.7045162,4.6337194,-1.9292033
O=C1N(C2CCC(NC2=O)=O)CC3=CC(CC(N(C)CC4(CCCC4)C5=CC=C(SC)C=C5)=O)=CC=C31,5.4630966,49.508293,6.8549485,67.60021,2.704686,4.63396,-1.9292738
O=C1C2=CC=C(NC(CN(CCCC3=CC=C(OC)C=C3)C4CCCC4)=O)C=C2CN1C5CCC(NC5=O)=O,5.463534,49.52089,6.8554506,67.60976,2.7055905,4.6349535,-1.929363
O=C1C2=CC=C(NC(N(CCC3=CC=C(SC)C=C3)C4CCCC4)=O)C=C2CN1C5CCC(NC5=O)=O,5.46316,49.514866,6.8554063,67.60285,2.7050765,4.63445,-1.9293735
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)C4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,5.462471,49.50467,6.855196,67.59189,2.7041783,4.6335564,-1.929378
O=C1CCC(N2C(C(C=CC(NC(N(C)CC3(CCCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,5.4629097,49.50539,6.8550344,67.59756,2.7044346,4.633836,-1.9294012
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)C(NCCC4=CC=C(OC)C=C4)=O)=O)=C5)=C5C2)=O)C(N1)=O,5.4627194,49.50979,6.855369,67.59698,2.7045808,4.634022,-1.9294415
O=C1C2=CC=C(NC(N(CCCC3=CC=C(OC)C=C3)C4CCCC4)=O)C=C2CN1C5CCC(NC5=O)=O,5.4631767,49.51537,6.8554235,67.604195,2.7051122,4.634554,-1.9294417
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)CNCC4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,5.4630237,49.511467,6.8553715,67.60055,2.7048233,4.6342688,-1.9294455
O=C1CCC(N2C(C(C=CC(NC(NC3(CCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,5.462427,49.50118,6.8551936,67.590515,2.7039657,4.633461,-1.9294953
O=C1C2=CC=CC(NC(NC3(CCC3)C4=CC=C(OC)C=C4)=O)=C2CN1C5CCC(NC5=O)=O,5.4621735,49.497402,6.855154,67.58804,2.703634,4.6332645,-1.9296305
O=C1CCC(N2C(C(C=CC(NC(NC3(CCC3)C4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,5.462168,49.497158,6.8551755,67.58824,2.703618,4.6332927,-1.9296746
O=C1C2=CC=C(NC(CN(CC3)CCN3C4=CC=C(OC)C=C4)=O)C=C2CN1C5CCC(NC5=O)=O,5.4627247,49.506756,6.855402,67.598076,2.7044177,4.63412,-1.9297023
O=C1C2=CC=C(NC3=C(NC4(CCC4)C5=CC=C(OC)C=C5)C(C3=O)=O)C=C2CN1C6CCC(NC6=O)=O,5.461774,49.48944,6.8549643,67.58271,2.7030015,4.6327705,-1.929769
O=C1CCC(N2C(C(C=CC(NC(N(CC3)CCC3C4=CC=CC(OC)=C4)=O)=C5)=C5C2)=O)C(N1)=O,5.462467,49.50162,6.855369,67.59383,2.7040098,4.633806,-1.9297965
O=C1CCC(N2C(C(C=CC(NC(N3CC(CCC3)C4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,5.462443,49.50133,6.8553815,67.59363,2.703982,4.633801,-1.9298189
O=C1CCC(N2C(C(C=CC(NC(N(C)C3(CCC3)C4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,5.4621463,49.490986,6.8549576,67.588844,2.70327,4.6331863,-1.9299164
COC1=CC=C(N2CCN(C(NC3=CC(C4)=C(C=C3)C(N4C(C(N5)=O)CCC5=O)=O)=O)CC2)C=C1,5.4623423,49.499245,6.8554354,67.59242,2.703818,4.6337547,-1.9299366
O=C1CCC(N2C(C(C=CC(NC(N3CC(C4=CC=C(OC)C=C4)CC3)=O)=C5)=C5C2)=O)C(N1)=O,5.462141,49.49357,6.855364,67.59001,2.7034085,4.633541,-1.9301326
O=C1CCC(N2C(C(C=CC(NC(NC3(CCC3)C4=CC=CC5=C4C=C(OC)C=C5)=O)=C6)=C6C2)=O)C(N1)=O,5.461731,49.485405,6.855126,67.584,2.7027597,4.6329684,-1.9302087
O=C1CCC(N2C(C(C=CC(NC(NC3(C4=CC=CC(OC5=CC=CC=C5)=C4)CCC3)=O)=C6)=C6C2)=O)C(N1)=O,5.4614153,49.486423,6.855346,67.580536,2.7026591,4.6328797,-1.9302206
O=C1C2=CC=C(NC(N(CCCC3=CC=C(OC)C=C3)C)=O)C=C2CN1C4CCC(NC4=O)=O,5.4618483,49.477184,6.8554573,67.59395,2.7023687,4.6338744,-1.9315057
O=C1C2=CC=C(NC(N(CCC3=CC=C(OC)C=C3)CC)=O)C=C2CN1C4CCC(NC4=O)=O,5.461886,49.47679,6.8555007,67.59439,2.7023659,4.633934,-1.9315681
O=C1C2=CC=C(NC(NC(C3=CC=C(OC)C=C3)(C)C)=O)C=C2CN1C4CCC(NC4=O)=O,5.4613385,49.45348,6.854968,67.5834,2.7008219,4.63282,-1.9319983
O=C1CCC(N2C(C(C=CC(NC(N(C)CC(C)(C)C3=CC=C(OC)C=C3)=O)=C4)=C4C2)=O)C(N1)=O,5.4616137,49.451313,6.854788,67.587715,2.7008395,4.6329947,-1.9321551
