Endpoint,N_Valid_Points,RMSE,MAE,R²,Pearson_r
zbtb11_3nM,8,1.199,0.899,0.131,0.597
zbtb11_10nM,8,1.444,1.137,0.025,0.172
zbtb11_30nM,8,1.048,0.938,-0.712,0.165
zbtb11_100nM,8,2.111,1.667,0.175,0.678
zbtb11_300nM,8,1.72,1.503,-0.581,0.674
zbtb11_1uM,8,3.051,2.856,-3.144,-0.07
zbtb11_3uM,8,3.084,2.841,0.091,0.306
zbtb11_10uM,8,3.984,3.375,0.194,0.534
zbtb11_30uM,8,14.307,11.346,0.049,0.485
zbtb11_100uM,8,29.418,24.497,-0.145,0.472
ikzf1_3nM,8,7.757,4.997,-0.552,-0.259
ikzf1_10nM,8,17.644,11.933,-0.756,-0.299
ikzf1_30nM,8,29.074,20.745,-0.783,-0.321
ikzf1_100nM,8,34.239,25.059,-0.938,-0.258
ikzf1_300nM,8,37.045,27.445,-1.168,-0.283
ikzf1_1uM,8,34.295,28.097,-1.181,-0.162
ikzf1_3uM,8,31.875,28.221,-0.852,0.023
ikzf1_10uM,8,27.617,23.847,-0.487,0.22
ikzf1_30uM,8,25.308,20.593,-0.401,0.344
ikzf1_100uM,8,26.677,23.747,-1.435,0.093
